CellType	Donor	NumCells	Label
Acinar	H1	6	Acinar_H1
Acinar	H2	1	Acinar_H2
Acinar	H3	1	Acinar_H3
Acinar	H4	1	Acinar_H4
Acinar	H5	1	Acinar_H5
Acinar	H6	1	Acinar_H6
Alpha	H1	149	Alpha_H1
Alpha	H2	163	Alpha_H2
Alpha	H3	1550	Alpha_H3
Alpha	H4	732	Alpha_H4
Alpha	H5	895	Alpha_H5
Alpha	H6	1412	Alpha_H6
Beta	H1	149	Beta_H1
Beta	H2	82	Beta_H2
Beta	H3	1140	Beta_H3
Beta	H4	938	Beta_H4
Beta	H5	556	Beta_H5
Beta	H6	691	Beta_H6
Epsilon	H3	3	Epsilon_H3
Epsilon	H4	2	Epsilon_H4
Epsilon	H5	4	Epsilon_H5
delta	H1	25	delta_H1
delta	H2	8	delta_H2
delta	H3	80	delta_H3
delta	H4	87	delta_H4
delta	H5	40	delta_H5
delta	H6	90	delta_H6
duct	H1	43	duct_H1
duct	H2	7	duct_H2
duct	H3	56	duct_H3
duct	H4	99	duct_H4
duct	H5	69	duct_H5
duct	H6	20	duct_H6
pp	H1	17	pp_H1
pp	H2	3	pp_H2
pp	H3	116	pp_H3
pp	H4	62	pp_H4
pp	H5	30	pp_H5
pp	H6	53	pp_H6
psc	H1	22	psc_H1
psc	H2	17	psc_H2
psc	H3	230	psc_H3
psc	H4	13	psc_H4
psc	H5	125	psc_H5
psc	H6	42	psc_H6
